ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Response,Complain,Country
798b2dad-925a-4b25-a604-3d5540e5ae39,1975,Bachelors,Divorced,147454,0,1,2023-03-01,355,4898,32,2609,3529,3996,3710,23,24,14,86,30,1,1,0,0,1,0,0,GW
717908c6-5530-4052-9a63-4f8753bdd8dc,1987,Bachelors,Single,195585,2,3,2023-10-21,167,4439,3196,3220,137,2409,3906,42,25,93,36,59,1,0,1,1,1,0,1,TT
946c32e7-7dad-4f56-888a-57bbf2895e2e,1978,PhD,Married,95013,5,1,2022-05-15,304,191,3485,3808,3881,554,2224,77,86,61,43,17,1,0,0,0,1,1,0,MK
785ee1d4-1f40-4192-9f43-b9e285bf1780,2006,Bachelors,Divorced,97176,0,0,2023-01-13,184,4077,2245,3683,1831,2562,4745,87,27,26,30,21,0,1,0,0,0,1,1,AD
6b352dfa-9ae9-435b-bbf1-df351c602f9b,1981,PhD,Married,126632,1,1,2022-01-20,349,2490,1203,3654,4648,487,3994,2,71,98,86,100,0,1,1,1,1,1,1,LT
16f0c50e-df02-443a-ba53-6aaa460e8c4b,2020,High School,Divorced,93840,0,3,2022-10-08,112,1605,2148,1219,1633,4952,4552,37,91,97,33,15,1,0,0,0,1,0,1,LK
f9500a04-6945-4c12-a147-21ed530fc7d8,1973,High School,Single,33007,2,3,2022-10-20,312,4939,4319,4799,1654,611,2328,64,37,84,97,21,1,1,0,1,1,1,1,AD
f98b4913-14af-47d6-b03d-d707a4e55adc,2007,PhD,Divorced,154610,1,4,2023-06-21,324,3661,592,3408,1021,3596,1490,57,64,9,99,7,0,0,0,1,0,0,1,LY
c9569e88-e583-4552-a803-7fbfb7359387,2019,High School,Single,196059,5,4,2021-12-26,45,171,295,1472,3870,4271,1648,42,26,27,2,83,1,0,0,1,0,0,1,NL
42766e9e-870d-4595-b631-123a738b34ef,2010,Masters,Single,70344,3,1,2023-02-20,50,1856,3141,483,2347,4598,639,72,32,21,64,53,0,1,1,0,0,1,1,GN
36439930-f987-49e6-9aa4-b6bf71bcb6e6,1993,High School,Married,172509,5,0,2022-08-15,104,1345,4962,206,820,703,3977,85,42,61,38,71,0,1,1,0,1,0,0,MZ
dee29b93-c6ed-4a24-a3e3-c55837bcba44,2020,Masters,Married,18285,1,1,2021-11-20,88,429,3052,2845,1491,1278,4483,91,98,69,49,55,0,0,0,1,0,1,1,CA
3f61a30d-3713-4234-9b86-358226fc0d93,2020,Masters,Divorced,93618,5,1,2022-09-13,347,4421,2150,4240,4707,3435,4487,54,93,55,21,87,1,1,1,1,0,1,1,KH
8a97031b-0ba2-4ecb-9224-74b70f29eb0a,2003,High School,Married,64916,0,1,2023-02-11,214,3193,227,3700,1426,89,4037,80,94,52,86,24,0,1,0,0,0,0,0,TJ
d8af25fc-9aed-4120-b3f6-8513236bb195,1972,Masters,Single,82161,2,2,2022-10-04,216,3753,3530,439,763,282,3421,83,69,58,71,64,0,1,0,0,1,1,0,GD
4cf87176-39d7-41c9-9a10-5b1d6ac393f9,2016,High School,Single,187412,1,2,2022-09-28,172,4785,83,4928,830,3547,2364,61,40,34,5,61,0,0,0,1,1,0,0,SL
a7f4f6b7-012c-4f4f-93da-44cf13d7831a,1973,Masters,Married,191014,3,3,2023-03-02,155,4641,4153,3198,465,4598,1805,23,66,87,37,88,0,0,1,1,0,0,0,SR
d721db6d-b410-46c9-82dc-d037068153a2,1983,Masters,Married,162082,2,0,2022-05-02,32,455,1896,2637,2873,3150,4395,60,57,56,60,70,1,0,0,1,1,0,1,TW
