نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
وهامون,سرمايه گذاري هامون صبا,172339,257592647,1.30941E+12,4847,5089,5089,242.00,4.99,5083,236.00,4.87,4859,5089
سپيدار,سپيدار سيستم آسيا,39849,29226446,6.90687E+11,24100,24500,24366,266.00,1.10,23632,-468.00,-1.94,22895,24943
مديريت,س. و خدمات مديريت صند. ب كشوري,37886,7912607,68808030472,8282,8696,8696,414.00,5.00,8696,414.00,5.00,8696,8696
پالايش,صندوق پالايشي يكم-سهام,37345,39834612,3.36162E+12,87110,85100,84200,"-2,910.00",-3.34,84390,"-2,720.00",-3.12,83020,85400
دي,بانك دي,36474,1211068175,1.65175E+12,1340,1366,1356,16.00,1.19,1364,24.00,1.79,1301,1397
فرابورس,فرابورس ايران,34068,88396899,2.93428E+12,32305,32100,33400,"1,095.00",3.39,33194,889.00,2.75,30800,33920
شستا,سرمايه گذاري تامين اجتماعي,30399,135317342,1.78535E+12,13480,13400,13090,-390.00,-2.89,13190,-290.00,-2.15,13030,13470
دارا يكم,صندوق واسطه گري مالي يكم-سهام,22654,16112492,2.27753E+12,143420,141500,141580,"-1,840.00",-1.28,141350,"-2,070.00",-1.44,137810,143850
شبندر,پالايش نفت بندرعباس,19326,228470871,1.35517E+12,6030,5900,5970,-60.00,-1.00,5930,-100.00,-1.66,5800,6010
بركت,گروه دارويي بركت,19143,40415777,1.77468E+12,42370,43800,44480,"2,110.00",4.98,43910,"1,540.00",3.63,42360,44480
خساپا,سايپا,17227,611092296,1.26747E+12,2055,2030,2088,33.00,1.61,2074,19.00,0.92,1981,2130
خودرو,ايران‌ خودرو,17139,529526026,1.20508E+12,2253,2215,2294,41.00,1.82,2276,23.00,1.02,2179,2331
شپنا,پالايش نفت اصفهان,16265,89686400,1.24882E+12,14250,14030,13960,-290.00,-2.04,13920,-330.00,-2.32,13760,14100
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,15897,564064224,1.79488E+12,3069,3010,3222,153.00,4.99,3182,113.00,3.68,2951,3222
پترول,گروه پتروشيمي س. ايرانيان,15026,156757023,7.15976E+11,4429,4500,4546,117.00,2.64,4567,138.00,3.12,4370,4640
فملي,ملي‌ صنايع‌ مس‌ ايران‌,13045,53429139,7.38336E+11,14010,13770,13850,-160.00,-1.14,13820,-190.00,-1.36,13680,13980
فولاد,فولاد مباركه اصفهان,13019,58579333,6.96751E+11,12060,12050,11890,-170.00,-1.41,11890,-170.00,-1.41,11720,12060
لپارس,پارس‌ الكتريك‌,12928,9727483,1.21354E+12,120330,123890,126340,"6,010.00",4.99,124750,"4,420.00",3.67,117100,126340
كرمان,س. توسعه و عمران استان كرمان,12344,393903654,5.63557E+11,1437,1433,1440,3.00,0.21,1431,-6.00,-0.42,1380,1463
سنير,سيمان‌ سفيد ني‌ريز,11907,6661189,1.17404E+12,183170,192320,174020,"-9,150.00",-5.00,176250,"-6,920.00",-3.78,174020,192320
ثبهساز,بهساز كاشانه تهران,11589,82073286,2.04802E+11,2497,2510,2546,49.00,1.96,2495,-2.00,-0.08,2412,2579
كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,11231,298745098,5.25952E+11,1766,1785,1738,-28.00,-1.59,1761,-5.00,-0.28,1700,1820
گدنا,تهيه توزيع غذاي دنا آفرين فدك,11196,7783282,2.02869E+11,24972,25399,26220,"1,248.00",5.00,26065,"1,093.00",4.38,24850,26220
شتران,پالايش نفت تهران,10940,76375945,8.64755E+11,11540,11310,11340,-200.00,-1.73,11320,-220.00,-1.91,11160,11540
غزر,صنعتي زر ماكارون,10939,18477277,5.45019E+11,28260,29000,29670,"1,410.00",4.99,29500,"1,240.00",4.39,27000,29670
ولكار,ليزينگ كارآفرين,10836,14093306,77364737640,5560,5590,5430,-130.00,-2.34,5490,-70.00,-1.26,5310,5690
هاي وب,داده گسترعصرنوين-هاي وب,10798,91698182,9.55561E+11,10000,10270,10500,500.00,5.00,10420,420.00,4.20,10050,10500
لطيف,محصولات كاغذي لطيف,10737,2424738,1.44887E+11,58629,59990,59000,371.00,0.63,59754,"1,125.00",1.92,58931,60750
ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,10729,42096800,2.30537E+11,5560,5610,5460,-100.00,-1.80,5480,-80.00,-1.44,5410,5610
