,,,,,,,,,,,,,,
دیده بان بازار : 1400/6/16,,,,,,,,,,,,,,
نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
مديريت,س. و خدمات مديريت صند. ب كشوري,117988,34426398,3.30011E+11,9130,9586,9586,456.00,4.99,9586,456.00,4.99,9586,9586
پالايش,صندوق پالايشي يكم-سهام,42531,37287652,3.07321E+12,84910,82300,81400,"-3,510.00",-4.13,82420,"-2,490.00",-2.93,81060,83700
بركت,گروه دارويي بركت,41140,70357798,3.2637E+12,45860,45880,45150,-710.00,-1.55,46390,530.00,1.16,44510,47970
لطيف,محصولات كاغذي لطيف,33572,1282129,71264831843,57389,55130,55250,"-2,139.00",-3.73,55583,"-1,806.00",-3.15,54700,57000
ولكار,ليزينگ كارآفرين,31639,18665273,93972356380,5270,5060,5020,-250.00,-4.74,5030,-240.00,-4.55,5010,5180
شستا,سرمايه گذاري تامين اجتماعي,31026,106856335,1.38424E+12,13110,12930,12910,-200.00,-1.53,12950,-160.00,-1.22,12800,13090
سپيدار,سپيدار سيستم آسيا,30162,5936271,1.39935E+11,24710,24200,23475,"-1,235.00",-5.00,23573,"-1,137.00",-4.60,23475,24200
گدنا,تهيه توزيع غذاي دنا آفرين فدك,30100,5903880,1.49159E+11,26213,25041,25030,"-1,183.00",-4.51,25265,-948.00,-3.62,24903,26220
ومدير,گ.مديريت ارزش سرمايه ص ب كشوري,29558,42403191,2.24389E+11,5440,5250,5250,-190.00,-3.49,5290,-150.00,-2.76,5240,5410
سپيد,سپيد ماكيان,28605,3521292,2.19799E+11,59450,62420,62420,"2,970.00",5.00,62420,"2,970.00",5.00,62420,62420
دي,بانك دي,25429,705801471,9.22187E+11,1331,1290,1298,-33.00,-2.48,1307,-24.00,-1.80,1279,1347
صبا,سرمايه گذاري صبا تامين,23673,271410978,2.65335E+12,9327,9700,9793,466.00,5.00,9776,449.00,4.81,9520,9793
وكبهمن,مديريت سرمايه گذاري كوثربهمن,23641,3398018,44708576997,13610,12960,13204,-406.00,-2.98,13157,-453.00,-3.33,12930,13650
ثبهساز,بهساز كاشانه تهران,23393,61238900,1.4703E+11,2504,2403,2379,-125.00,-4.99,2401,-103.00,-4.11,2379,2485
فگستر,گسترش صنايع روي ايرانيان,22796,6148554,99120186325,16105,15332,15830,-275.00,-1.71,16121,16.00,0.10,15332,16800
غكورش,صنعت غذايي كورش,22673,4914402,2.26342E+11,47520,46500,45880,"-1,640.00",-3.45,46060,"-1,460.00",-3.07,45500,47620
چخزر,صنايع چوب خزر كاسپين,22511,1560637,65605342941,43883,42150,41689,"-2,194.00",-5.00,42038,"-1,845.00",-4.20,41689,43200
فتوسا,توليد و توسعه سرب روي ايرانيان,22482,4721846,69917461763,15080,14610,14600,-480.00,-3.18,14807,-273.00,-1.81,14540,15490
شسپا,نفت سپاهان,22340,884603226,3.35254E+12,3612,3792,3791,179.00,4.96,3790,178.00,4.93,3710,3792
دارا يكم,صندوق واسطه گري مالي يكم-سهام,21837,9270233,1.26236E+12,140530,136220,134800,"-5,730.00",-4.08,136170,"-4,360.00",-3.10,134000,138190
ثاميد,توسعه و عمران اميد,21759,56240216,1.00716E+11,1869,1810,1776,-93.00,-4.98,1791,-78.00,-4.17,1776,1820
غزر,صنعتي زر ماكارون,21495,9330248,2.76228E+11,30610,29210,29080,"-1,530.00",-5.00,29610,"-1,000.00",-3.27,29080,31430
شبندر,پالايش نفت بندرعباس,21244,242509654,1.5095E+12,6180,6140,6160,-20.00,-0.32,6220,40.00,0.65,6080,6300
بوعلي,پتروشيمي بوعلي سينا,20759,6511990,4.41625E+11,70830,68610,68000,"-2,830.00",-4.00,67820,"-3,010.00",-4.25,67290,69990
آبادا,توليد نيروي برق آبادان,20481,7639607,1.11589E+11,14460,14210,14510,50.00,0.35,14610,150.00,1.04,13790,14960
وسپهر,سرمايه گذاري مالي سپهرصادرات,20244,21565255,1.97513E+11,9434,9200,9092,-342.00,-3.63,9159,-275.00,-2.91,9055,9240
خودرو,ايران‌ خودرو,20009,517964021,1.11862E+12,2251,2191,2141,-110.00,-4.89,2160,-91.00,-4.04,2139,2200
امين,تامين سرمايه امين,19191,5965664,56422321550,9410,9430,9430,20.00,0.21,9460,50.00,0.53,9200,9510
ولپارس,ليزينگ پارسيان,17918,49886711,2.98931E+11,6050,5880,5770,-280.00,-4.63,5990,-60.00,-0.99,5750,6350
شاروم,پتروشيمي اروميه,17592,5769288,1.10028E+11,19985,19060,18986,-999.00,-5.00,19071,-914.00,-4.57,18986,19650
كزغال,زغال سنگ پروده طبس,17516,2643707,1.02472E+11,39955,38900,38050,"-1,905.00",-4.77,38761,"-1,194.00",-2.99,38030,39320
زملارد,كشاورزي و دامپروري ملارد شير,17210,1276555,41544998515,33799,32160,32130,"-1,669.00",-4.94,32545,"-1,254.00",-3.71,32112,33560
بگيلان,توسعه مسير برق گيلان,16766,2033721,43760331967,22089,21230,21170,-919.00,-4.16,21517,-572.00,-2.59,21060,22220
شپنا,پالايش نفت اصفهان,16280,99915598,1.37594E+12,14080,13760,13610,-470.00,-3.34,13770,-310.00,-2.20,13600,14040
رافزا,رايان هم افزا,16221,1227907,1.12731E+11,96244,93000,91435,"-4,809.00",-5.00,91807,"-4,437.00",-4.61,91432,94500
خساپا,سايپا,16064,426813554,8.48163E+11,2061,2003,1958,-103.00,-5.00,1987,-74.00,-3.59,1958,2037
فولاد,فولاد مباركه اصفهان,15824,103122623,1.19504E+12,11800,11500,11520,-280.00,-2.37,11590,-210.00,-1.78,11400,11810
فملي,ملي‌ صنايع‌ مس‌ ايران‌,15511,53538663,7.29266E+11,13810,13560,13540,-270.00,-1.96,13620,-190.00,-1.38,13400,13850
سيتا,سرمايه گذاري سيمان تامين,15184,11663216,1.74295E+11,15260,14990,14920,-340.00,-2.23,14940,-320.00,-2.10,14850,15130
بپيوند,برق و انرژي پيوندگستر پارس,14510,6531449,86447502372,13858,13201,13166,-692.00,-4.99,13236,-622.00,-4.49,13166,13520
شتران,پالايش نفت تهران,13813,100563080,1.11259E+12,11420,11130,11000,-420.00,-3.68,11060,-360.00,-3.15,10850,11340
كدما,معدني‌ دماوند,12569,3537688,7.80129E+11,222910,227990,213650,"-9,260.00",-4.15,220520,"-2,390.00",-1.07,212010,234000
شصدف,صنعتي دوده فام,11705,7872465,3.22236E+11,42847,41210,40745,"-2,102.00",-4.91,40932,"-1,915.00",-4.47,40705,42730
كرمان,س. توسعه و عمران استان كرمان,11401,352887260,4.87346E+11,1436,1382,1375,-61.00,-4.25,1381,-55.00,-3.83,1368,1420
فرابورس,فرابورس ايران,11269,31732979,9.71436E+11,31926,31250,30330,"-1,596.00",-5.00,30613,"-1,313.00",-4.11,30330,31530
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,11023,187066483,5.77489E+11,3174,3070,3097,-77.00,-2.43,3087,-87.00,-2.74,3033,3138
حشكوه,دليجان طلايي شكوه پارس,10917,32804684,1.22883E+11,3858,3743,3743,-115.00,-2.98,3746,-112.00,-2.90,3743,3826
وتجارت,بانك تجارت,10597,197547794,4.92761E+11,2586,2519,2457,-129.00,-4.99,2494,-92.00,-3.56,2457,2577
حگردش,ريل گردش ايرانيان,10553,30512788,1.12396E+11,3795,3682,3682,-113.00,-2.98,3684,-111.00,-2.92,3682,3730
كمند,صندوق س. با درآمد ثابت كمند,10178,504528676,5.04832E+12,10170,10007,10010,-160.00,-1.57,10006,-164.00,-1.61,10005,10100
آريا,پليمر آريا ساسول,9615,2084221,2.37451E+11,116129,112700,113153,"-2,976.00",-2.56,113928,"-2,201.00",-1.90,112700,116129
اپال,فرآوري معدني اپال كاني پارس,9418,6489413,1.40282E+11,22420,22200,21330,"-1,090.00",-4.86,21620,-800.00,-3.57,21300,22500
وپويا,سرمايه گذاري پويا,9354,24017632,1.47937E+11,6438,6264,6117,-321.00,-4.99,6160,-278.00,-4.32,6117,6430
كاما,باما,9024,38858557,5.05544E+11,13560,13010,12900,-660.00,-4.87,13010,-550.00,-4.06,12890,13300
پيزد,مجتمع صنايع لاستيك يزد,8904,1068509,79784076385,74976,74023,74501,-475.00,-0.63,74669,-307.00,-0.41,71777,75950
قثابت,قند ثابت‌ خراسان‌,8612,123075895,5.57444E+11,4740,4570,4503,-237.00,-5.00,4529,-211.00,-4.45,4503,4640
سنير,سيمان‌ سفيد ني‌ريز,8557,3796392,6.4546E+11,168760,163160,177190,"8,430.00",5.00,170020,"1,260.00",0.75,160330,177190
وبملت,بانك ملت,8550,161070678,6.38434E+11,4060,4000,3920,-140.00,-3.45,3964,-96.00,-2.36,3901,4030
ذوب,سهامي ذوب آهن  اصفهان,7306,101944907,4.55423E+11,4637,4483,4428,-209.00,-4.51,4467,-170.00,-3.67,4410,4560
وبصادر,بانك صادرات ايران,7255,124918196,3.03925E+11,2527,2421,2405,-122.00,-4.83,2433,-94.00,-3.72,2401,2510
شگويا,پتروشيمي تندگويان,7243,22470592,2.72497E+11,12466,12490,11960,-506.00,-4.06,12127,-339.00,-2.72,11934,12490
ماديرا,صنايع ماشين هاي اداري ايران,6911,100464490,1.05251E+12,10005,9780,10497,492.00,4.92,10476,471.00,4.71,9710,10505
پترول,گروه پتروشيمي س. ايرانيان,6747,38147096,1.64812E+11,4443,4315,4285,-158.00,-3.56,4320,-123.00,-2.77,4250,4450
لپارس,پارس‌ الكتريك‌,6638,6143435,7.62426E+11,127390,121030,126000,"-1,390.00",-1.09,124100,"-3,290.00",-2.58,121030,129210
غگيلا,شيرپاستوريزه پگاه گيلان,6321,3032127,84151267807,29117,28100,27662,"-1,455.00",-5.00,27753,"-1,364.00",-4.68,27662,28500
خنصير,مهندسي‌نصيرماشين‌,6312,38167565,6.93504E+11,17850,16960,18720,870.00,4.87,18170,320.00,1.79,16960,18740
خپارس,پارس‌ خودرو,6260,203956476,2.68013E+11,1372,1326,1304,-68.00,-4.96,1314,-58.00,-4.23,1304,1346
حكشتي,كشتيراني جمهوري اسلامي ايران,6131,23031584,4.16197E+11,18570,18010,17910,-660.00,-3.55,18070,-500.00,-2.69,17660,18600
وخارزم,سرمايه گذاري خوارزمي,5901,35706539,2.18781E+11,6370,6160,6080,-290.00,-4.55,6130,-240.00,-3.77,6060,6290
خبهمن,گروه‌بهمن‌,5882,226941918,4.05892E+11,1836,1781,1768,-68.00,-3.70,1789,-47.00,-2.56,1760,1820
غنوش,نوش‌ مازندران‌,5786,14826044,6.76437E+11,43530,45000,45700,"2,170.00",4.99,45620,"2,090.00",4.80,43850,45700
كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,5750,246712285,4.36176E+11,1701,1673,1786,85.00,5.00,1768,67.00,3.94,1631,1786
فولاي,صنايع فولاد آلياژي يزد,5712,19651863,5.2774E+11,27200,27300,26000,"-1,200.00",-4.41,26854,-346.00,-1.27,25840,28300
نوري,پتروشيمي نوري,5672,3427657,3.69658E+11,109700,106300,108150,"-1,550.00",-1.41,107850,"-1,850.00",-1.69,105180,109490
هاي وب,داده گسترعصرنوين-هاي وب,5593,30837962,3.05384E+11,10260,10000,9900,-360.00,-3.51,9900,-360.00,-3.51,9770,10090
كحافظ,كاشي‌ وسراميك‌ حافظ‌,5499,104729993,4.93251E+11,4605,4835,4595,-10.00,-0.22,4710,105.00,2.28,4375,4835
خزر,فنرسازي‌زر,5453,21642328,4.3359E+11,19190,19200,20140,950.00,4.95,20030,840.00,4.38,19200,20140
فاراك,ماشين‌ سازي‌ اراك‌,5309,116695694,2.6181E+11,2199,2180,2250,51.00,2.32,2244,45.00,2.05,2134,2292
ختور,رادياتور ايران‌,5306,19690847,5.25609E+11,25920,25150,26520,600.00,2.31,26690,770.00,2.97,24800,27210
وغدير,سرمايه‌گذاري‌غدير(هلدينگ‌,5051,34155736,5.12436E+11,15440,15090,14810,-630.00,-4.08,15000,-440.00,-2.85,14770,15340
ملت,بيمه ملت,4884,190935469,2.91844E+11,1603,1530,1523,-80.00,-4.99,1528,-75.00,-4.68,1523,1568
فزرين,زرين معدن آسيا,4823,18461332,3.92352E+11,20398,20398,20900,502.00,2.46,21253,855.00,4.19,20000,21417
سصفها,سيمان‌اصفهان‌,4810,4271904,2.9172E+11,66540,66500,69250,"2,710.00",4.07,68290,"1,750.00",2.63,63850,69860
فاذر,صنايع‌ آذرآب‌,4789,139385234,1.92566E+11,1351,1365,1369,18.00,1.33,1382,31.00,2.29,1324,1415
زنجان,صنايع كشاورزي وكود زنجان,4731,44901954,3.08151E+11,6922,7129,6715,-207.00,-2.99,6863,-59.00,-0.85,6715,7129
فاراكح,ح . ماشين‌ سازي‌ اراك‌,4713,127370051,1.17312E+11,939,922,910,-29.00,-3.09,921,-18.00,-1.92,887,951
وپارس,بانك‌پارسيان‌,4658,96232042,3.03318E+11,3228,3101,3100,-128.00,-3.97,3152,-76.00,-2.35,3075,3240
خكار,ايركا پارت صنعت,4650,17236804,3.47691E+11,19700,18800,20330,630.00,3.20,20170,470.00,2.39,18770,20680
وسكرشا,س.سهام عدالت استان كرمانشاه,4620,234846830,1.61739E+11,719,689,684,-35.00,-4.87,689,-30.00,-4.17,684,702
دانا,بيمه دانا,4546,50408273,3.41698E+11,6560,6530,6720,160.00,2.44,6780,220.00,3.35,6360,6880
