نماد,نام,تعداد,حجم,ارزش,دیروز,اولین,آخرین معامله - مقدار,آخرین معامله - تغییر,آخرین معامله - درصد,قیمت پایانی - مقدار,قیمت پایانی - تغییر,قیمت پایانی - درصد,کمترین,بیشترین
وهامون,سرمايه گذاري هامون صبا,61680,136020607,6.59268E+11,4617,4847,4847,230.00,4.98,4847,230.00,4.98,4800,4847
پالايش,صندوق پالايشي يكم-سهام,50966,65153696,5.6756E+12,86000,87010,85730,-270.00,-0.31,87110,"1,110.00",1.29,85500,89500
دي,بانك دي,41692,1676334127,2.24671E+12,1285,1329,1349,64.00,4.98,1340,55.00,4.28,1303,1349
مديريت,س. و خدمات مديريت صند. ب كشوري,37456,12929957,1.07086E+11,7888,8282,8282,394.00,4.99,8282,394.00,4.99,8282,8282
شستا,سرمايه گذاري تامين اجتماعي,29279,122826597,1.65597E+12,13440,13700,13360,-80.00,-0.60,13480,40.00,0.30,13260,13800
بركت,گروه دارويي بركت,28599,68488473,2.90155E+12,40440,42200,42460,"2,020.00",5.00,42370,"1,930.00",4.77,41480,42460
شبندر,پالايش نفت بندرعباس,27427,331170767,1.9955E+12,5932,6040,5990,58.00,0.98,6030,98.00,1.65,5920,6190
دارا يكم,صندوق واسطه گري مالي يكم-سهام,25763,21329440,3.05909E+12,140270,144000,141830,"1,560.00",1.11,143420,"3,150.00",2.25,140400,146790
شپنا,پالايش نفت اصفهان,18925,133845607,1.90713E+12,14100,14470,14130,30.00,0.21,14250,150.00,1.06,14040,14640
خساپا,سايپا,17565,571471644,1.17431E+12,2045,2088,2040,-5.00,-0.24,2055,10.00,0.49,2027,2110
فولاد,فولاد مباركه اصفهان,17378,105516641,1.27271E+12,12040,12200,12040,0,0,12060,20.00,0.17,11920,12250
فملي,ملي‌ صنايع‌ مس‌ ايران‌,17373,86154695,1.20699E+12,13860,14270,13860,0,0,14010,150.00,1.08,13850,14340
كمرجان,بازرگاني و توليدي مرجان كار,16574,13052266,1.55041E+12,121917,115822,122500,583.00,0.48,118785,"-3,132.00",-2.57,115822,124818
شتران,پالايش نفت تهران,16361,140558500,1.62166E+12,11160,11400,11430,270.00,2.42,11540,380.00,3.41,11250,11710
كدما,معدني‌ دماوند,15807,4754716,1.06617E+12,232430,225150,220810,"-11,620.00",-5.00,224230,"-8,200.00",-3.53,220810,240000
خودرو,ايران‌ خودرو,15598,399876306,9.00828E+11,2229,2291,2235,6.00,0.27,2253,24.00,1.08,2220,2316
گدنا,تهيه توزيع غذاي دنا آفرين فدك,15431,9198216,2.29693E+11,24967,25002,25420,453.00,1.81,24972,5.00,0.02,24286,25540
كرمان,س. توسعه و عمران استان كرمان,15056,461805844,6.63782E+11,1430,1475,1429,-1.00,-0.07,1437,7.00,0.49,1400,1485
قثابت,قند ثابت‌ خراسان‌,14638,235054206,1.07999E+12,4756,4690,4640,-116.00,-2.44,4595,-161.00,-3.39,4519,4840
كرازي,كارخانجات‌توليدي‌شيشه‌رازي‌,13916,703331983,1.24226E+12,1686,1770,1770,84.00,4.98,1766,80.00,4.74,1700,1770
لطيف,محصولات كاغذي لطيف,12132,3520123,2.06381E+11,56216,58670,59026,"2,810.00",5.00,58629,"2,413.00",4.29,56700,59026
ولكار,ليزينگ كارآفرين,11904,20503785,1.13998E+11,5320,5410,5580,260.00,4.89,5560,240.00,4.51,5410,5580
ثبهساز,بهساز كاشانه تهران,11725,74139634,1.8511E+11,2533,2585,2472,-61.00,-2.41,2497,-36.00,-1.42,2450,2585
خگستر,گسترش‌سرمايه‌گذاري‌ايران‌خودرو,11075,230202001,7.06469E+11,3006,3129,3045,39.00,1.30,3069,63.00,2.10,3010,3150
ذوب,سهامي ذوب آهن  اصفهان,11063,140041948,6.66818E+11,4810,4830,4740,-70.00,-1.46,4762,-48.00,-1.00,4699,4898
بوعلي,پتروشيمي بوعلي سينا,10636,10366927,7.2423E+11,66660,68410,69990,"3,330.00",5.00,69860,"3,200.00",4.80,68410,69990
كاما,باما,10269,53066981,7.37135E+11,13600,14050,13730,130.00,0.96,13890,290.00,2.13,13650,14270
چخزر,صنايع چوب خزر كاسپين,10196,2946910,1.34482E+11,45783,46800,44610,"-1,173.00",-2.56,45635,-148.00,-0.32,44511,47480
